,level_0,x,y,index
0,AB17A_HUMAN,0.45083717,0.5861472,0.0
1,ACBD5_HUMAN,0.35068512,1.0825939,1.0
2,ACE2_HUMAN,0.2972641,0.4407065,2.0
3,ACON_HUMAN,0.49962237,0.54899704,3.0
4,AMPN_HUMAN,0.80003864,0.8539953,4.0
5,ANXA2_HUMAN,0.29782164,0.06898538,5.0
6,ATF5_HUMAN,0.7427987,0.34746957,6.0
7,B2CL1_HUMAN,0.86520904,0.3533257,7.0
8,B2CL2_HUMAN,0.32379213,0.31586283,8.0
9,B2LA1_HUMAN,0.63680154,0.1711274,9.0
10,BAG6_HUMAN,0.40342706,0.52832085,10.0
11,BCL2_HUMAN,0.808934,0.14990084,11.0
12,BTF3_HUMAN,0.53617394,0.5888457,12.0
13,CAMLG_HUMAN,0.6985958,0.09440603,13.0
14,CAV1_HUMAN,0.7284974,0.23234619,14.0
15,CD209_HUMAN,0.409846,0.20490146,15.0
16,CD9_HUMAN,-0.067569315,0.1496479,16.0
17,CEAM1_HUMAN,0.305537,0.9664643,17.0
18,CH60_HUMAN,0.6505822,0.72254765,18.0
19,CHK2_HUMAN,0.48107666,0.13215403,19.0
20,CHM2B_HUMAN,0.49858204,0.09711704,20.0
21,CHM4B_HUMAN,0.51291287,1.0766053,21.0
22,CLC4G_HUMAN,0.77165633,0.45927656,22.0
23,CLC4M_HUMAN,0.7355929,0.28752926,23.0
24,COPB2_HUMAN,0.2521894,0.9236592,24.0
25,CYTSB_HUMAN,0.852049,0.39801398,25.0
26,DCTN2_HUMAN,0.4016864,0.33077598,26.0
27,DDAH2_HUMAN,0.8298606,0.19787227,27.0
28,DDX1_HUMAN,-0.021401694,0.3205156,28.0
29,DDX5_HUMAN,0.58141404,0.16431506,29.0
30,DNJB1_HUMAN,0.35416478,0.6340626,30.0
31,DPP4_HUMAN,-0.13729557,-0.11088201,31.0
32,EF1A1_HUMAN,0.7422905,0.4922884,32.0
33,EIF3E_HUMAN,0.4343409,1.1016707,33.0
34,EIF3F_HUMAN,0.48800924,0.5933614,34.0
35,EIF3I_HUMAN,0.37367547,0.98261243,35.0
36,FGL2_HUMAN,0.58173203,0.5325077,36.0
37,FKB1A_HUMAN,0.6664169,0.22591268,37.0
38,G3BP1_HUMAN,0.17450379,0.42565927,38.0
39,G3BP2_HUMAN,0.23973387,0.06215026,39.0
40,GBF1_HUMAN,0.2511721,0.84495234,40.0
41,GRP75_HUMAN,0.6659958,0.9873343,41.0
42,GSK3A_HUMAN,-0.0026170802,0.19196199,42.0
43,GSK3B_HUMAN,-0.0682226,0.3237904,43.0
44,H2AW_HUMAN,0.62262774,0.568686,44.0
45,HCoV-229E,0.69244486,0.7212771,45.0
46,HCoV-NL63,0.09908157,0.5337237,46.0
47,HGS_HUMAN,0.5759534,0.06732748,47.0
48,HNRPQ_HUMAN,0.62122107,1.0513829,48.0
49,IBV,0.1492905,0.2981144,49.0
50,IC1_HUMAN,0.46783897,0.18279245,50.0
51,IFTAP_HUMAN,0.42849523,0.13015534,51.0
52,IKKB_HUMAN,0.8669396,0.2870595,52.0
53,IMA1_HUMAN,0.6084259,0.10875041,53.0
54,IMA3_HUMAN,-0.12514628,-0.2526351,54.0
55,IMB1_HUMAN,0.29962525,1.0449042,55.0
56,IRF3_HUMAN,0.2778433,0.4694425,56.0
57,JUN_HUMAN,0.53440404,0.17212746,57.0
58,KIF11_HUMAN,0.65143615,0.92838746,58.0
